source	target	mutualrank	logrank
AP2A	VID28	0.04	3.2188758248682006
IMB4	RTP1	0.0425531914893617	3.1570004211501135
AP3B	AP2A	0.16666666666666666	1.791759469228055
TOR1	2AAA	0.08	2.5257286443082556
RRP12	SCC2	0.029850746268656716	3.5115454388310208
CND3	VID28	0.019801980198019802	3.9219733362813143
KA120	UTP20	0.0425531914893617	3.1570004211501135
NEW1	AP3B	0.01652892561983471	4.102643365036796
FES1	CND1	0.034482758620689655	3.367295829986474
AP2B	NEW1	0.01904761904761905	3.960813169597578
IMB3	UFD4	0.03389830508474576	3.3843902633457743
CHD1	INO80	0.13333333333333333	2.0149030205422647
SHE4	EF3B	0.018018018018018018	4.0163830207523885
SXM1	AP3D	0.023255813953488372	3.7612001156935624
2AAA	SCY1	0.011235955056179775	4.48863636973214
FES1	IPI1	0.018867924528301886	3.970291913552122
XPO1	AP3B	0.021052631578947368	3.8607297110405954
SCC3	AP3B	0.03636363636363636	3.3141860046725258
VID28	AP3B	0.03333333333333333	3.4011973816621555
IMB3	UTP10	0.08333333333333333	2.4849066497880004
CEX1	SHE4	0.00980392156862745	4.624972813284271
IMB4	AP1B1	0.0425531914893617	3.1570004211501135
SF3B1	IMA1	0.07407407407407407	2.6026896854443837
RTP1	EF3A	0.018518518518518517	3.9889840465642745
GCN1	IMB3	0.18181818181818182	1.7047480922384253
IMB1	LAA1	0.03125	3.4657359027997265
LAA1	CND3	0.021505376344086023	3.8394523125933104
MET18	IMB4	0.09523809523809523	2.3513752571634776
IMB3	SXM1	0.1111111111111111	2.1972245773362196
STU2	UTP20	0.06666666666666667	2.70805020110221
SHE4	VATH	0.2	1.6094379124341003
EF3B	AP3D	0.020833333333333332	3.871201010907891
KA120	STU2	0.027777777777777776	3.58351893845611
UFD4	SYO1	0.13333333333333333	2.0149030205422647
IMB4	PDS5	0.024390243902439025	3.713572066704308
USO1	HYM1	0.04081632653061224	3.1986731175506815
SYO1	SHE4	0.13333333333333333	2.0149030205422647
CEX1	SCC3	0.0125	4.382026634673881
VAC8	UTP10	0.03773584905660377	3.2771447329921766
NMD5	FES1	0.018867924528301886	3.970291913552122
PDS5	IMB2	0.03636363636363636	3.3141860046725258
AP3B	UTP10	0.031746031746031744	3.4499875458315876
AP3D	IPI1	0.034482758620689655	3.367295829986474
RTP1	NMD5	0.025974025974025976	3.6506582412937383
TTI1	IMB1	0.034482758620689655	3.367295829986474
CEX1	FES1	0.010869565217391304	4.5217885770490405
TOR2	FES1	0.015037593984962405	4.197201947661808
TOR1	MET18	0.09523809523809523	2.3513752571634776
IMB2	KA120	0.2	1.6094379124341003
ECM29	MOT1	0.023809523809523808	3.7376696182833684
2AAA	BLM10	0.031746031746031744	3.4499875458315876
AP1G1	CEX1	0.010362694300518135	4.56954300834494
CND1	SXM1	0.021739130434782608	3.828641396489095
UFD4	UTP10	0.022222222222222223	3.8066624897703196
LAA1	UTP20	0.03076923076923077	3.481240089335692
COPG	AP1B1	0.15384615384615385	1.8718021769015913
MOT1	AP1G1	0.013333333333333334	4.31748811353631
EF3A	COPG	0.019230769230769232	3.951243718581427
RTP1	IMA1	0.03636363636363636	3.3141860046725258
CSE1	IMA1	0.025	3.6888794541139363
SXM1	NMD5	1.0	-0.0
MET18	STU2	0.047619047619047616	3.044522437723423
AP1B1	SDA1	0.027777777777777776	3.58351893845611
USO1	VAC8	0.05555555555555555	2.890371757896165
VAC8	CND3	0.028985507246376812	3.5409593240373143
STU2	COPG	0.05263157894736842	2.9444389791664407
VID28	IMA1	0.5	0.6931471805599453
AP2A	TSC11	0.03076923076923077	3.481240089335692
CND3	IMA1	0.03225806451612903	3.4339872044851463
UTP20	NMD5	0.045454545454545456	3.091042453358316
TOR2	AP1B1	0.047619047619047616	3.044522437723423
MET18	CEX1	0.011695906432748537	4.448516375942715
UTP10	MET18	0.06451612903225806	2.740840023925201
SEC17	TOR1	0.011904761904761904	4.430816798843313
IMB3	NMD5	0.08	2.5257286443082556
ECM29	TOR2	0.16666666666666666	1.791759469228055
STU2	TOR2	0.05263157894736842	2.9444389791664407
MOT1	SCC3	0.011560693641618497	4.460144413937834
SDA1	MAK21	0.4	0.916290731874155
SHE4	HGH1	0.25	1.3862943611198906
SCC2	IMB1	0.02197802197802198	3.817712325956905
EF3B	UTP20	0.0273972602739726	3.597312260588446
PDS5	UFD4	0.02040816326530612	3.891820298110627
VAC14	COPB	0.05405405405405406	2.917770732084279
UFD4	2AAA	0.03571428571428571	3.332204510175204
UTP20	SCC2	0.03225806451612903	3.4339872044851463
CEX1	RRP12	0.01020408163265306	4.584967478670572
AP1G1	IMB3	0.03636363636363636	3.3141860046725258
EF3B	AP1G1	0.016129032258064516	4.127134385045092
CND1	KA120	0.021739130434782608	3.828641396489095
DOHH	RTP1	0.028985507246376812	3.5409593240373143
UFD4	SIL1	0.05714285714285714	2.8622008809294686
PDS5	COPB	0.05263157894736842	2.9444389791664407
ECM29	RRP12	0.1	2.3025850929940455
STU1	EF3B	0.02564102564102564	3.6635616461296463
SCC2	IMB2	0.03389830508474576	3.3843902633457743
EF3A	GCN1	0.041666666666666664	3.1780538303479458
RRP12	CSE1	0.06896551724137931	2.6741486494265287
UFD4	VID28	0.2222222222222222	1.5040773967762742
PDS5	TOR1	0.037037037037037035	3.295836866004329
EF3A	COPB	0.018518518518518517	3.9889840465642745
AP3D	UTP10	0.03125	3.4657359027997265
CND1	UTP20	0.02197802197802198	3.817712325956905
HGH1	TOR1	0.018018018018018018	4.0163830207523885
AP1G1	DOHH	0.05555555555555555	2.890371757896165
TOR1	VAC14	0.08	2.5257286443082556
CND3	AP2B	0.04	3.2188758248682006
STU1	CEX1	0.011560693641618497	4.460144413937834
TTI1	UTP10	0.037037037037037035	3.295836866004329
TOR2	SCC3	0.013986013986013986	4.269697449699962
VPS15	TFC6	0.006734006734006734	5.000584958242754
PDS5	FES1	0.044444444444444446	3.1135153092103742
IMB1	XPO1	0.10526315789473684	2.2512917986064953
IMA1	SHE4	0.2857142857142857	1.252762968495368
GCN1	EF3B	0.04	3.2188758248682006
IMA1	USO1	0.06666666666666667	2.70805020110221
VAC8	SIL1	0.03508771929824561	3.349904087274605
XPO1	SF3B1	0.03333333333333333	3.4011973816621555
PDS5	CSE1	0.02127659574468085	3.8501476017100584
AP3D	SF3B1	0.05128205128205128	2.9704144655697013
SYO1	VATH	0.06666666666666667	2.70805020110221
RTP1	AP3B	0.027777777777777776	3.58351893845611
EF3A	VAC14	0.03389830508474576	3.3843902633457743
FES1	IMB2	0.02857142857142857	3.5553480614894135
RTP1	FES1	0.030303030303030304	3.4965075614664802
VAC8	IMB2	0.05714285714285714	2.8622008809294686
IMA1	IMB3	0.0392156862745098	3.2386784521643803
MOT1	IMB1	0.019230769230769232	3.951243718581427
HGH1	SYO1	0.13333333333333333	2.0149030205422647
MET18	AP1B1	0.0392156862745098	3.2386784521643803
COPB	EF3B	0.018867924528301886	3.970291913552122
IMB4	TTI1	0.03636363636363636	3.3141860046725258
SCC3	AP3D	0.024691358024691357	3.7013019741124937
IPI1	IMB3	0.03508771929824561	3.349904087274605
USO1	COPB	0.024691358024691357	3.7013019741124937
IMB1	CND3	0.02247191011235955	3.7954891891721947
TOR2	RPN2	0.022727272727272728	3.784189633918261
IMB1	SF3B1	0.10526315789473684	2.2512917986064953
DOHH	IMB4	0.02666666666666667	3.624340932976365
IMB2	NEW1	0.023529411764705882	3.7495040759303713
CND3	IMB3	0.025974025974025976	3.6506582412937383
TOR1	CND1	0.02	3.912023005428146
AP3B	TOR2	0.03389830508474576	3.3843902633457743
TOR2	MOT1	0.028985507246376812	3.5409593240373143
STU2	RRP12	0.05405405405405406	2.917770732084279
CND1	MET18	0.02702702702702703	3.6109179126442243
USO1	UFD4	0.044444444444444446	3.1135153092103742
COPG	GCN1	0.05714285714285714	2.8622008809294686
IMA1	UFD4	0.3333333333333333	1.0986122886681098
USO1	2AAA	0.023809523809523808	3.7376696182833684
AP3D	UFD4	0.030303030303030304	3.4965075614664802
TTI1	TOR2	0.016129032258064516	4.127134385045092
XPO1	AP2B	0.020833333333333332	3.871201010907891
RTP1	TOR1	0.031746031746031744	3.4499875458315876
TFC6	KOG1	0.012269938650306749	4.400603020246817
CEX1	PDS5	0.012048192771084338	4.418840607796598
SXM1	VAC14	0.03773584905660377	3.2771447329921766
IMB1	IMB4	0.6666666666666666	0.40546510810816444
STU1	UFD4	0.024096385542168676	3.7256934272366524
IMB1	EF3A	0.023255813953488372	3.7612001156935624
UFD4	SF3B1	0.03636363636363636	3.3141860046725258
ATR	TOR1	0.4	0.916290731874155
SF3B1	MOT1	0.024691358024691357	3.7013019741124937
EF3A	IMA1	0.02127659574468085	3.8501476017100584
VID28	MOT1	0.011363636363636364	4.477336814478207
VAC8	SCC2	0.04878048780487805	3.0204248861443626
AP2A	STU2	0.034482758620689655	3.367295829986474
IMB3	SYO1	0.025974025974025976	3.6506582412937383
RPN2	DOHH	0.5	0.6931471805599453
SCC2	VAC14	0.027777777777777776	3.58351893845611
CEX1	AP3D	0.010810810810810811	4.52720864451838
EF3A	TOR1	0.024691358024691357	3.7013019741124937
XPO1	TOR2	0.02247191011235955	3.7954891891721947
AP1B1	NMD5	0.025974025974025976	3.6506582412937383
ECM29	CND1	0.031746031746031744	3.4499875458315876
PDS5	RPN2	0.04	3.2188758248682006
CLU	RQC1	0.022222222222222223	3.8066624897703196
AP1G1	UFD4	0.02197802197802198	3.817712325956905
BLM10	EF3B	0.023255813953488372	3.7612001156935624
SYO1	IMA1	0.06451612903225806	2.740840023925201
AP1B1	HSM3	0.03076923076923077	3.481240089335692
AP1G1	SF3B1	0.04	3.2188758248682006
CYC8	TOR2	0.02127659574468085	3.8501476017100584
AP3B	AP3D	0.2222222222222222	1.5040773967762742
EF3B	PDS5	0.017094017094017096	4.069026754237811
DOHH	COPG	0.06666666666666667	2.70805020110221
STU1	IMB1	0.03508771929824561	3.349904087274605
IMA1	DOHH	0.08695652173913043	2.4423470353692043
TOR2	CEX1	0.00909090909090909	4.700480365792417
ECM29	STU2	0.1	2.3025850929940455
FES1	IMB3	0.028985507246376812	3.5409593240373143
GCN1	DOHH	0.034482758620689655	3.367295829986474
RTP1	AP2B	0.03125	3.4657359027997265
CND1	SHE4	0.023255813953488372	3.7612001156935624
UTP10	RPN2	0.021052631578947368	3.8607297110405954
SCC3	FES1	0.024691358024691357	3.7013019741124937
COPB	CEX1	0.01098901098901099	4.51085950651685
SF3B1	IPI1	0.03508771929824561	3.349904087274605
MET18	SCC3	0.024691358024691357	3.7013019741124937
HGH1	CEX1	0.009852216748768473	4.620058798481842
2AAA	IMB4	0.07142857142857142	2.639057329615259
VAC8	COPG	0.06666666666666667	2.70805020110221
RTP1	NEW1	0.018867924528301886	3.970291913552122
ECM29	IMA1	0.0392156862745098	3.2386784521643803
DOHH	VAC14	0.045454545454545456	3.091042453358316
COPB	DOHH	0.09090909090909091	2.3978952727983707
LAA1	ECM29	0.029850746268656716	3.5115454388310208
VAC8	SF3B1	0.06666666666666667	2.70805020110221
CEX1	LAA1	0.009900990099009901	4.61512051684126
VAC8	CSE1	0.029850746268656716	3.5115454388310208
CEX1	TR732	0.01092896174863388	4.516338972281476
RPN2	SHE4	0.03508771929824561	3.349904087274605
ECM29	SHE4	0.02702702702702703	3.6109179126442243
EF3B	IMB3	0.024096385542168676	3.7256934272366524
VAC14	BLM10	0.03076923076923077	3.481240089335692
2AAA	TAO3	0.02857142857142857	3.5553480614894135
VID28	VAC8	0.5	0.6931471805599453
RRP12	COPG	0.03636363636363636	3.3141860046725258
AP1B1	SHE4	0.05263157894736842	2.9444389791664407
USO1	TOR2	0.014388489208633094	4.241326752570746
VAC14	AP2B	0.05405405405405406	2.917770732084279
GCN1	SCC2	0.04	3.2188758248682006
AP2B	KA120	0.025	3.6888794541139363
GCN1	KA120	0.05	2.995732273553991
VATH	AP2B	0.04081632653061224	3.1986731175506815
SCY1	MET18	0.010101010101010102	4.59511985013459
VAC8	AP2B	0.1	2.3025850929940455
AP3D	AP2B	0.25	1.3862943611198906
CND1	RPN2	0.03125	3.4657359027997265
UTP20	IMA1	0.03571428571428571	3.332204510175204
VAC14	RPN2	0.03333333333333333	3.4011973816621555
DOHH	NEW1	0.02197802197802198	3.817712325956905
COPB	TSC11	0.029850746268656716	3.5115454388310208
IMB4	STU2	0.06060606060606061	2.803360380906535
AP2A	UTP10	0.023529411764705882	3.7495040759303713
IMB2	UTP20	0.06451612903225806	2.740840023925201
VAC8	RTP1	0.03125	3.4657359027997265
TTI1	IMB3	0.03508771929824561	3.349904087274605
SEC17	CYC8	0.05128205128205128	2.9704144655697013
TTI1	XPO1	0.02857142857142857	3.5553480614894135
VAC8	TSC11	0.03508771929824561	3.349904087274605
AP1B1	UFD4	0.0425531914893617	3.1570004211501135
SCC3	VAC14	0.025	3.6888794541139363
VATH	IMA1	0.14285714285714285	1.9459101490553135
AP3B	IMB2	0.05	2.995732273553991
PDS5	XPO1	0.023809523809523808	3.7376696182833684
VAC8	IPI1	0.023255813953488372	3.7612001156935624
RTP1	RPN2	0.02857142857142857	3.5553480614894135
IMB3	VAC8	0.05555555555555555	2.890371757896165
AP3B	FES1	0.02857142857142857	3.5553480614894135
SHE4	AP3D	0.03773584905660377	3.2771447329921766
SHE4	2AAA	0.046511627906976744	3.068052935133617
FES1	CND3	0.024096385542168676	3.7256934272366524
MET18	AP3D	0.031746031746031744	3.4499875458315876
RRP12	UFD4	0.01904761904761905	3.960813169597578
PDS5	SHE4	0.0273972602739726	3.597312260588446
TOR2	AP1G1	0.02857142857142857	3.5553480614894135
NEW1	STU1	0.028169014084507043	3.56953269648137
STU2	SHE4	0.02	3.912023005428146
CSE1	STU1	0.023529411764705882	3.7495040759303713
SHE4	AP2A	0.03333333333333333	3.4011973816621555
PDS5	MOT1	0.013071895424836602	4.33729074083249
DOHH	TOR1	0.029411764705882353	3.5263605246161616
RTP1	PDS5	0.03125	3.4657359027997265
RTP1	UTP10	0.037037037037037035	3.295836866004329
CYC8	CLU	0.03773584905660377	3.2771447329921766
FES1	SF3B1	0.028985507246376812	3.5409593240373143
MOT1	RTP1	0.013888888888888888	4.276666119016055
PTA1	PDS5	0.03636363636363636	3.3141860046725258
2AAA	VATH	0.03333333333333333	3.4011973816621555
VAC14	SHE4	0.03225806451612903	3.4339872044851463
SCC3	COPB	0.030303030303030304	3.4965075614664802
STU1	KA120	0.022988505747126436	3.7727609380946383
AP2B	COPB	0.2222222222222222	1.5040773967762742
IMB4	SF3B1	0.11764705882352941	2.1400661634962708
HGH1	TOR2	0.013422818791946308	4.310799125385514
GCN1	2AAA	0.16666666666666666	1.791759469228055
RTP1	EF3B	0.01818181818181818	4.007333185232471
AP1G1	PDS5	0.04081632653061224	3.1986731175506815
APC5	RPN6	0.030303030303030304	3.4965075614664802
TOR1	TR732	0.02702702702702703	3.6109179126442243
EF3A	NMD5	0.0196078431372549	3.9318256327243257
USO1	STU2	0.019417475728155338	3.9415818076696905
EF3A	ECM29	0.02666666666666667	3.624340932976365
SCC3	CND1	0.08333333333333333	2.4849066497880004
RPN2	CEX1	0.009950248756218905	4.61015772749913
MOT1	KA120	0.015037593984962405	4.197201947661808
2AAA	AP3D	0.07407407407407407	2.6026896854443837
